File,SubFile,Score,Bias,EValue(C),EValue(I),HMM-From,HMM-To,Ali-From,Ali-To,Env-From,Env-To,Accuracy,HMM-Length,Ali-Length,Env-Length
OceanDNA-b41030,1870,277.0,0.1,2.2e-86,1.9e-83,2,261,71,333,70,333,0.95,259,262,263
OceanDNA-b38376,1463,295.9,0.1,3.8e-92,3.2e-89,2,261,89,353,88,353,0.93,259,264,265
OceanDNA-b38936,521,302.2,1.2,3.1e-94,9.9e-92,4,261,51,313,49,313,0.93,257,262,264
OceanDNA-b39170,558,296.2,1.5,1e-92,2.1e-89,4,261,65,327,63,327,0.93,257,262,264
OceanDNA-b45838,706,129.3,0.0,8.4e-42,1e-38,12,245,105,346,95,353,0.91,233,241,258
OceanDNA-b7262,306,124.6,0.0,2.4e-40,9e-38,38,247,65,280,44,292,0.91,209,215,248
OceanDNA-b17273,142,189.4,0.1,7.9e-60,9.9e-57,33,242,78,296,43,310,0.9,209,218,267
OceanDNA-b22615,804,168.5,0.0,1.9e-53,5.7e-50,7,244,81,325,77,335,0.9,237,244,258
OceanDNA-b17441,966,190.1,0.0,2.5e-60,2.5e-57,35,241,75,290,47,306,0.89,206,215,259
OceanDNA-b7374,41,111.7,0.0,2.1e-36,6.5e-34,19,240,44,273,34,284,0.89,221,229,250
OceanDNA-b6173,392,121.3,0.2,2.4e-39,1.3e-36,37,246,53,273,31,283,0.89,209,220,252
OceanDNA-b7010,154,125.2,0.0,3.2e-40,6.7e-38,20,240,59,287,48,295,0.88,220,228,247
OceanDNA-b22112,1138,118.7,0.0,1.5e-38,3.5e-35,35,244,90,305,58,317,0.88,209,215,259
OceanDNA-b10708,286,128.2,0.0,1.9e-41,8.1e-39,34,240,59,271,30,280,0.88,206,212,250
OceanDNA-b6426,302,130.0,0.0,5.2e-42,3.8e-39,19,240,39,268,25,275,0.88,221,229,250
OceanDNA-b40618,49,181.3,0.0,3.5e-57,7e-55,35,240,53,275,33,290,0.88,205,222,257
OceanDNA-b4858,199,109.2,0.0,1.2e-35,2.4e-33,33,247,50,273,25,283,0.88,214,223,258
OceanDNA-b6423,306,136.1,0.0,7.3e-44,3.6e-41,19,240,43,272,30,280,0.88,221,229,250
OceanDNA-b12544,188,128.0,0.1,2.2e-41,7.2e-39,36,243,77,295,49,307,0.87,207,218,258
OceanDNA-b7440,29,123.7,0.0,4.3e-40,1.5e-37,18,240,39,269,27,280,0.87,222,230,253
OceanDNA-b40777,1138,189.4,0.0,4e-60,4.5e-57,18,240,40,278,28,291,0.87,222,238,263
OceanDNA-b22997,133,57.3,0.0,1.6e-19,8.2e-17,4,211,24,237,21,255,0.87,207,213,234
OceanDNA-b40853,487,129.1,0.0,9.9e-42,7.6e-39,34,242,69,293,59,305,0.87,208,224,246
OceanDNA-b40685,345,192.2,0.1,1.1e-60,6.3e-58,10,239,26,270,22,280,0.87,229,244,258
OceanDNA-b6345,278,129.9,0.0,5.7e-42,1.6e-39,36,245,65,285,37,297,0.87,209,220,260
OceanDNA-b7003,11,125.3,0.0,1.4e-40,6.2e-38,20,240,54,282,43,289,0.87,220,228,246
OceanDNA-b10094,20,114.7,0.1,2.5e-37,1.2e-34,20,240,39,267,26,273,0.86,220,228,247
OceanDNA-b5007,104,96.7,0.0,7.8e-32,2.1e-29,19,244,33,268,20,277,0.86,225,235,257
OceanDNA-b40613,659,133.1,0.1,1.9e-42,4.8e-40,33,239,94,316,84,330,0.86,206,222,246
OceanDNA-b40635,555,135.8,0.1,9.3e-44,5.6e-41,32,237,79,300,66,310,0.86,205,221,244
OceanDNA-b40641,953,134.1,0.2,1.2e-42,3.9e-40,32,252,113,349,102,354,0.86,220,236,252
OceanDNA-b12521,140,127.0,0.0,4.3e-41,1.1e-38,25,248,52,287,36,297,0.86,223,235,261
OceanDNA-b9951,224,123.6,0.1,4.7e-40,1.9e-37,20,241,44,273,31,288,0.86,221,229,257
OceanDNA-b4683,266,113.6,0.0,5.3e-37,2.6e-34,35,240,55,266,27,273,0.86,205,211,246
OceanDNA-b12541,171,133.2,0.0,5.7e-43,1.9e-40,19,249,40,285,29,297,0.86,230,245,268
OceanDNA-b20043,202,92.3,0.0,3.3e-30,5.5e-28,17,245,223,463,212,473,0.85,228,240,261
OceanDNA-b40594,236,133.3,0.0,5.3e-43,2e-40,36,246,80,306,70,313,0.85,210,226,243
OceanDNA-b40232,2108,193.4,0.0,7.5e-61,5.8e-58,20,241,121,358,109,371,0.85,221,237,262
OceanDNA-b12532,131,128.8,0.0,1.2e-41,3.8e-39,19,249,52,297,42,309,0.85,230,245,267
OceanDNA-b40607,496,119.4,0.0,9e-39,5.5e-36,28,240,115,343,106,355,0.85,212,228,249
OceanDNA-b5513,155,131.5,0.0,1.8e-42,7.8e-40,18,247,32,276,19,285,0.85,229,244,266
OceanDNA-b4882,38,104.1,0.1,4.3e-34,1e-31,18,238,36,268,25,285,0.85,220,232,260
OceanDNA-b20676,16,101.0,0.0,7.4e-33,1.2e-30,19,246,20,256,15,270,0.85,227,236,255
OceanDNA-b5520,32,123.2,0.0,6.5e-40,3e-37,19,247,35,278,24,288,0.85,228,243,264
OceanDNA-b5433,327,125.4,0.0,1.3e-40,5.8e-38,18,248,35,280,23,289,0.84,230,245,266
OceanDNA-b22185,127,120.1,0.0,5.5e-39,1.3e-35,18,249,67,312,51,324,0.84,231,245,273
OceanDNA-b5526,273,125.8,0.0,1e-40,5.4e-38,34,247,92,317,58,327,0.83,213,225,269
OceanDNA-b38370,238,73.2,0.0,1.1e-24,1.8e-21,18,240,34,266,27,278,0.82,222,232,251
OceanDNA-b41349,857,96.6,0.0,1.6e-31,9.9e-29,31,239,72,291,48,305,0.82,208,219,257
OceanDNA-b20744,16,65.5,0.0,2.5e-22,6.6e-20,17,245,77,332,65,343,0.78,228,255,278
OceanDNA-b38975,199,32.1,0.1,4e-12,8.6e-09,34,236,102,293,71,309,0.77,202,191,238
OceanDNA-b20565,177,54.8,0.0,4.7e-19,1.3e-16,31,245,70,309,46,319,0.76,214,239,273
OceanDNA-b20259,119,60.1,0.1,1.1e-20,3.7e-18,35,247,74,317,55,327,0.76,212,243,272
OceanDNA-b18639,90,50.2,0.5,2.4e-17,4.9e-15,35,247,100,340,79,352,0.74,212,240,273
OceanDNA-b20044,310,36.5,0.1,1.8e-13,6.8e-11,37,246,105,341,82,351,0.74,209,236,269
OceanDNA-b13249,460,15.5,1.1,1.3e-06,0.00041,36,251,130,340,125,346,0.73,215,210,221
OceanDNA-b20098,139,45.8,0.1,5e-16,6.2e-14,35,246,83,328,63,336,0.72,211,245,273
OceanDNA-b19687,279,47.1,0.0,1e-16,4.7e-14,37,244,81,317,58,327,0.71,207,236,269
OceanDNA-b20056,324,39.8,0.0,3.6e-14,6.9e-12,37,245,78,313,55,319,0.71,208,235,264
OceanDNA-b20097,224,40.0,0.0,4.4e-14,4.4e-12,34,246,76,315,56,322,0.7,212,239,266
OceanDNA-b20756,163,47.8,0.0,6.1e-17,1.8e-14,37,246,96,331,74,339,0.69,209,235,265
OceanDNA-b19686,2,53.9,0.0,1.7e-18,3.9e-16,30,247,79,330,63,337,0.69,217,251,274
OceanDNA-b20098,140,38.4,0.0,9.4e-14,1.2e-11,34,241,111,345,91,357,0.67,207,234,266
